Dettagli risparmio bitrate per intervallo di VMAF:
                     seq_name  vmaf_bin           codec  bitrate_savings_%
          CSGO_30fps_30sec_v2        92      libaom-av1          34.132539
          CSGO_30fps_30sec_v2        94      libaom-av1          38.126752
          CSGO_30fps_30sec_v2        95      libaom-av1          33.903097
          CSGO_30fps_30sec_v2        97      libaom-av1          42.041287
          CSGO_30fps_30sec_v2        89       libsvtav1          43.580916
          CSGO_30fps_30sec_v2        92       libsvtav1          37.279633
          CSGO_30fps_30sec_v2        94       libsvtav1          41.174950
          CSGO_30fps_30sec_v2        96       libsvtav1          43.311453
          CSGO_30fps_30sec_v2        97       libsvtav1          44.735866
          CSGO_30fps_30sec_v2        89 libvvenc_1.12.1          45.286081
          CSGO_30fps_30sec_v2        92 libvvenc_1.12.1          39.181283
          CSGO_30fps_30sec_v2        94 libvvenc_1.12.1          42.722877
          CSGO_30fps_30sec_v2        96 libvvenc_1.12.1          44.894500
          CSGO_30fps_30sec_v2        97 libvvenc_1.12.1          46.229972
Daydreamer_SDR_8s_1920x1080_8        75      libaom-av1          43.707696
Daydreamer_SDR_8s_1920x1080_8        87      libaom-av1          56.479359
Daydreamer_SDR_8s_1920x1080_8        88      libaom-av1          42.586681
Daydreamer_SDR_8s_1920x1080_8        89      libaom-av1          39.583954
Daydreamer_SDR_8s_1920x1080_8        87       libsvtav1          33.316056
Daydreamer_SDR_8s_1920x1080_8        88       libsvtav1          31.757114
Daydreamer_SDR_8s_1920x1080_8        89       libsvtav1          27.536990
Daydreamer_SDR_8s_1920x1080_8        86 libvvenc_1.12.1          23.227596
Daydreamer_SDR_8s_1920x1080_8        88 libvvenc_1.12.1          38.743448
Daydreamer_SDR_8s_1920x1080_8        89 libvvenc_1.12.1          27.765222
Daydreamer_SDR_8s_3840x2160_8        82      libaom-av1          39.245659
Daydreamer_SDR_8s_3840x2160_8        83      libaom-av1          20.334027
Daydreamer_SDR_8s_3840x2160_8        84      libaom-av1          18.783080
Daydreamer_SDR_8s_3840x2160_8        85      libaom-av1          14.884739
Daydreamer_SDR_8s_3840x2160_8        86      libaom-av1          14.055344
Daydreamer_SDR_8s_3840x2160_8        87      libaom-av1          18.291662
Daydreamer_SDR_8s_3840x2160_8        88      libaom-av1          17.358537
Daydreamer_SDR_8s_3840x2160_8        89      libaom-av1           2.276020
Daydreamer_SDR_8s_3840x2160_8        80       libsvtav1          32.570393
Daydreamer_SDR_8s_3840x2160_8        81       libsvtav1          35.008019
Daydreamer_SDR_8s_3840x2160_8        83       libsvtav1          35.671692
Daydreamer_SDR_8s_3840x2160_8        84       libsvtav1          32.574372
Daydreamer_SDR_8s_3840x2160_8        85       libsvtav1          16.621915
Daydreamer_SDR_8s_3840x2160_8        86       libsvtav1          19.379245
Daydreamer_SDR_8s_3840x2160_8        87       libsvtav1          10.909568
Daydreamer_SDR_8s_3840x2160_8        88       libsvtav1          11.819720
Daydreamer_SDR_8s_3840x2160_8        89       libsvtav1          -0.958406
Daydreamer_SDR_8s_3840x2160_8        81 libvvenc_1.12.1         -24.257756
Daydreamer_SDR_8s_3840x2160_8        82 libvvenc_1.12.1         -26.502903
Daydreamer_SDR_8s_3840x2160_8        84 libvvenc_1.12.1           0.394823
Daydreamer_SDR_8s_3840x2160_8        85 libvvenc_1.12.1           5.440808
Daydreamer_SDR_8s_3840x2160_8        86 libvvenc_1.12.1           9.820698
Daydreamer_SDR_8s_3840x2160_8        87 libvvenc_1.12.1           9.789424
Daydreamer_SDR_8s_3840x2160_8        88 libvvenc_1.12.1          16.092553
Daydreamer_SDR_8s_3840x2160_8        89 libvvenc_1.12.1          16.591457
   Hearthstone_30fps_30sec_v2        94      libaom-av1          59.090466
   Hearthstone_30fps_30sec_v2        95      libaom-av1          56.454711
   Hearthstone_30fps_30sec_v2        92       libsvtav1          41.405257
   Hearthstone_30fps_30sec_v2        94       libsvtav1          43.937062
   Hearthstone_30fps_30sec_v2        95       libsvtav1          45.222988
   Hearthstone_30fps_30sec_v2        86 libvvenc_1.12.1          -2.554700
   Hearthstone_30fps_30sec_v2        93 libvvenc_1.12.1           2.415867
